fecha_captura,fecha_actualizacion,nivel,ubigeo,nombre_ubigeo,actas_contabilizadas,contabilizadas,total_actas,participacion,votos_emitidos,votos_validos,enviadas_jee,pendientes_jee
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,090000,HUÁNUCO,42.717,1000,2341,31.167,204614,191128,8,1333
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,100000,ICA,56.16,1372,2443,46.177,329701,310895,11,1060
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,110000,JUNÍN,59.198,2185,3691,45.324,481570,451214,16,1490
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,120000,LA LIBERTAD,58.978,3127,5302,45.591,707892,656048,23,2152
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,130000,LAMBAYEQUE,68.858,2472,3590,53.677,564331,520844,9,1109
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,140000,LIMA,47.017,13751,29247,37.419,3237160,3040195,407,15089
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,150000,LORETO,23.767,641,2697,15.65,121435,113470,8,2048
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,170000,MOQUEGUA,71.626,414,578,58.561,96407,90712,2,162
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,180000,PASCO,40.648,326,802,28.546,63855,59421,7,469
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,190000,PIURA,52.358,2765,5281,40.962,628395,579406,44,2472
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,200000,PUNO,37.975,1290,3397,30.738,296156,281791,10,2097
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,210000,SAN MARTÍN,45.856,1162,2534,34.501,249653,230769,6,1366
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,220000,TACNA,78.674,819,1041,64.799,196091,184895,12,210
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,230000,TUMBES,74.209,469,632,56.778,102948,94775,3,160
2026-06-08T02:30:22+00:00,2026-06-08T02:26:03+00:00,departamento,250000,UCAYALI,47.954,750,1564,32.484,147455,138217,19,795
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,nacional,,PERÚ,52.255,48475,92766,40.201,10985148,10263749,823,43468
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,010000,AMAZONAS,39.358,503,1278,28.143,97164,90471,9,766
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,020000,ÁNCASH,48.963,1700,3472,37.688,366096,335453,26,1746
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,030000,APURÍMAC,35.459,467,1317,27.023,97643,92023,4,846
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,040000,AREQUIPA,71.269,3004,4215,58.723,720251,674933,19,1192
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,050000,AYACUCHO,43.316,823,1900,33.275,173107,164222,11,1066
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,060000,CAJAMARCA,38.231,1621,4240,29.018,347863,321053,9,2610
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,240000,CALLAO,62.595,1814,2898,48.782,419019,390416,39,1045
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,070000,CUSCO,52.975,2110,3983,40.818,462777,431750,33,1840
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,080000,HUANCAVELICA,32.364,412,1273,23.179,78681,74518,4,857
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,090000,HUÁNUCO,46.305,1084,2341,33.576,220434,205772,8,1249
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,100000,ICA,61.605,1505,2443,50.553,360949,340343,11,927
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,110000,JUNÍN,60.607,2237,3691,46.364,492619,461467,17,1437
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,120000,LA LIBERTAD,61.562,3264,5302,47.573,738654,684556,23,2015
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,130000,LAMBAYEQUE,69.721,2503,3590,54.333,571235,527242,9,1078
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,140000,LIMA,54.091,15820,29247,43.025,3722108,3494719,475,12952
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,150000,LORETO,26.845,724,2697,17.707,137392,128282,9,1964
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,170000,MOQUEGUA,75.606,437,578,61.915,101929,95908,2,139
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,180000,PASCO,40.773,327,802,28.613,64006,59566,7,468
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,190000,PIURA,54.819,2895,5281,42.863,657551,606020,45,2341
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,200000,PUNO,46.453,1578,3397,37.796,364162,346603,18,1801
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,210000,SAN MARTÍN,47.277,1198,2534,35.466,256633,237237,6,1330
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,220000,TACNA,81.652,850,1041,67.208,203383,191804,12,179
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,230000,TUMBES,83.703,529,632,63.834,115741,106476,3,100
2026-06-08T02:53:22+00:00,2026-06-08T02:46:02+00:00,departamento,250000,UCAYALI,50.959,797,1564,34.646,157269,147459,20,747
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,nacional,,PERÚ,53.412,49548,92766,41.083,11226058,10488968,842,42376
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,010000,AMAZONAS,40.454,517,1278,28.895,99759,92890,9,752
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,020000,ÁNCASH,51.354,1783,3472,39.542,384102,351832,27,1662
